Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,2,1,14.76000023,32.79000092,Late delivery,1,29,Shop By Sport,San Diego,EE. UU.,XXXXXXXXX,Kathleen,11444,Patrick,XXXXXXXXX,Corporate,CA,7016 Rocky Path,92109,5,Golf,32.76118851,-117.2454453,Pacific Asia,Anqing,China,11444,3/8/2016 1:29,29599,627,7.199999809,0.180000007,74073,39.99000168,0.449999988,1,39.99000168,32.79000092,14.76000023,Eastern Asia,Anhui,COMPLETE,NA,627,29,NA,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,3/10/2016 1:29,First Class
DEBIT,6,4,62.36000061,296.9500122,Late delivery,1,17,Cleats,Caguas,Puerto Rico,XXXXXXXXX,Mary,7706,Cook,XXXXXXXXX,Consumer,PR,6312 Noble Apple Woods,725,4,Apparel,18.25103569,-66.37057495,LATAM,Huehuetenango,Guatemala,7706,1/13/2015 21:42,885,365,3,0.01,2215,59.99000168,0.209999993,5,299.9500122,296.9500122,62.36000061,Central America,Huehuetenango,COMPLETE,NA,365,17,NA,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/19/2015 21:42,Standard Class
DEBIT,3,4,57.11999893,167.9900055,Advance shipping,0,48,Water Sports,Caguas,Puerto Rico,XXXXXXXXX,Mary,3453,Smith,XXXXXXXXX,Consumer,PR,4316 Misty Way,725,7,Fan Shop,18.27610588,-66.37055206,Pacific Asia,Hobart,Australia,3453,3/2/2016 23:55,29252,1073,32,0.159999996,73170,199.9900055,0.340000004,1,199.9900055,167.9900055,57.11999893,Oceania,Tasmania,COMPLETE,NA,1073,48,NA,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,3/5/2016 23:55,Standard Class
DEBIT,5,2,10.61999989,42.47999954,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,XXXXXXXXX,Kimberly,1110,Buchanan,XXXXXXXXX,Consumer,PR,2586 High Log Autoroute,725,7,Fan Shop,18.26867676,-66.37060547,LATAM,Villa Nueva,Guatemala,1110,4/27/2017 0:02,58024,1014,7.5,0.150000006,145179,49.97999954,0.25,1,49.97999954,42.47999954,10.61999989,Central America,Guatemala,COMPLETE,NA,1014,46,NA,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,5/2/2017 0:02,Second Class
DEBIT,2,4,36.91999817,369.1799927,Advance shipping,0,66,Crafts,Austin,EE. UU.,XXXXXXXXX,Ramona,18519,Noel,XXXXXXXXX,Corporate,TX,5352 Silver Acres,78704,4,Apparel,30.2586937,-97.76625061,Pacific Asia,Daca,Bangladés,18519,12/30/2017 7:34,74966,1353,92.30000305,0.200000003,178281,461.480011,0.100000001,1,461.480011,369.1799927,36.91999817,South Asia,Daca,COMPLETE,NA,1353,66,NA,http://images.acmesports.sports/Porcelain+crafts,Porcelain crafts,461.480011,0,1/1/2018 7:34,Standard Class
DEBIT,5,4,76.48999786,254.9799957,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,William,11653,Collins,XXXXXXXXX,Consumer,PR,6894 Heather Estates,725,7,Fan Shop,18.25578117,-66.3705368,Europe,Forbach,Francia,11653,6/15/2015 12:12,11339,957,45,0.150000006,28353,299.980011,0.300000012,1,299.980011,254.9799957,76.48999786,Western Europe,Alsacia-Champaña-Ardenas-Lorena,COMPLETE,NA,957,43,NA,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,6/20/2015 12:12,Standard Class
DEBIT,4,4,27.60000038,59.99000168,Shipping on time,0,17,Cleats,Lancaster,EE. UU.,XXXXXXXXX,Michael,12334,Robertson,XXXXXXXXX,Consumer,CA,469 Cinder Rabbit Mall,93535,4,Apparel,34.69681549,-118.122261,Pacific Asia,Chongqing,China,12334,1/5/2016 4:54,25293,365,0,0,63379,59.99000168,0.460000008,1,59.99000168,59.99000168,27.60000038,Eastern Asia,Chongqing,COMPLETE,NA,365,17,NA,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/9/2016 4:54,Standard Class
DEBIT,2,1,92.23999786,224.9799957,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Mary,4274,Smith,XXXXXXXXX,Home Office,PR,5032 Little Branch Stead,725,3,Footwear,18.26503944,-66.37060547,USCA,Fresno,Estados Unidos,4274,8/3/2016 17:45,39784,191,74.98999786,0.25,99262,99.98999786,0.409999996,3,299.9700012,224.9799957,92.23999786,West of USA,California,COMPLETE,93727,191,9,NA,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,8/5/2016 17:45,First Class
DEBIT,6,4,87,173.9900055,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,XXXXXXXXX,Laura,10638,Young,XXXXXXXXX,Home Office,PR,7628 Dusty Brook Place,725,7,Fan Shop,18.20301819,-66.37052155,LATAM,Guadalajara,México,10638,1/29/2017 10:19,52025,1073,26,0.129999995,129998,199.9900055,0.5,1,199.9900055,173.9900055,87,Central America,Jalisco,COMPLETE,NA,1073,48,NA,http://images.acmesports.sports/Pelican+Sunstream+100+Kayak,Pelican Sunstream 100 Kayak,199.9900055,0,2/4/2017 10:19,Standard Class
DEBIT,4,4,59.38999939,179.9799957,Shipping on time,0,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Virginia,5924,Williams,XXXXXXXXX,Consumer,PR,905 Little Farms,725,3,Footwear,18.23828697,-66.37059021,LATAM,Taubaté,Brasil,5924,4/17/2015 12:27,7298,191,20,0.100000001,18271,99.98999786,0.330000013,2,199.9799957,179.9799957,59.38999939,South America,São Paulo,COMPLETE,NA,191,9,NA,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,4/21/2015 12:27,Standard Class
DEBIT,5,2,42.63000107,147,Late delivery,1,24,Women's Apparel,Mission Viejo,EE. UU.,XXXXXXXXX,Carol,4880,Banks,XXXXXXXXX,Consumer,CA,4761 Indian Mountain Plaza,92691,5,Golf,33.62104797,-117.6759186,Europe,Nuremberg,Alemania,4880,9/6/2015 20:40,17049,502,3,0.02,42632,50,0.289999992,3,150,147,42.63000107,Western Europe,Bavaria,COMPLETE,NA,502,24,NA,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,9/11/2015 20:40,Second Class
